contigName	contigLen	normDepth
CD630_23310|Mannitol-1-phosphate_5-dehydrogenase        1152    6.0764
CD630_07680|Sorbitol_6-phosphate_2-dehydrogenase        774     1.7442
272563.8.peg.9|Chromosomal_replication_initiator_protein_DnaA	1320	29.7727
272563.8.peg.866|Glutamate_synthase	1443	16.2855
272563.8.peg.871|Aconitate_hydratase_(EC_4.2.1.3)	1926	1.1423
272563.8.peg.872|Isocitrate_dehydrogenase	996	1.5562
272563.8.peg.879|Phosphoribosylaminoimidazolecarboxamide_formyltransferase_(EC_2.1.2.3)	1176	45.3231
272563.8.peg.83|SSU_ribosomal_protein_S10p_(S20e)	312	195.9936
272563.8.peg.84|LSU_ribosomal_protein_L3p_(L3e)	630	282.9365
272563.8.peg.893|Oligopeptide_ABC_transporter,_substrate-binding_protein_OppA_(TC_3.A.1.5.1)	1569	359.0504
272563.8.peg.894|Oligopeptide_ABC_transporter,_ATP-binding_protein_OppD_(TC_3.A.1.5.1)	1026	238.2066
272563.8.peg.895|Oligopeptide_ABC_transporter,_ATP-binding_protein_OppF_(TC_3.A.1.5.1)	138	127.5362
272563.8.peg.896|Oligopeptide_ABC_transporter,_ATP-binding_protein_OppF_(TC_3.A.1.5.1)	627	232.2967
272563.8.peg.85|LSU_ribosomal_protein_L4p_(L1e)	624	235.2564
272563.8.peg.901|PTS_system,_cellobiose-specific_IIC_component	1290	0.6977
272563.8.peg.902|PTS_system,_cellobiose-specific_IIA_component_(EC_2.7.1.205)	330	1.0606
272563.8.peg.903|Maltose-6'-phosphate_glucosidase_(EC_3.2.1.122)	1329	1.4296
272563.8.peg.86|LSU_ribosomal_protein_L23p_(L23Ae)	291	179.8969
272563.8.peg.907|Predicted_molybdate-responsive_regulator_YvgK_in_bacilli	930	12.2581
272563.8.peg.87|LSU_ribosomal_protein_L2p_(L8e)	831	237.3646
272563.8.peg.911|Maltose_O-acetyltransferase_(EC_2.3.1.79)	558	6.2724
272563.8.peg.88|SSU_ribosomal_protein_S19p_(S15e)	282	203.0142
272563.8.peg.89|LSU_ribosomal_protein_L22p_(L17e)	336	163.0952
272563.8.peg.90|SSU_ribosomal_protein_S3p_(S3e)	816	205.8211
272563.8.peg.921|Glucose-1-phosphate_adenylyltransferase_(EC_2.7.7.27)	1161	36.2188
272563.8.peg.922|Glycogen_biosynthesis_protein_GlgD,_glucose-1-phosphate_adenylyltransferase_family	1131	35.6322
272563.8.peg.923|Glycogen_synthase,_ADP-glucose_transglucosylase_(EC_2.4.1.21)	1443	49.7921
272563.8.peg.924|Glycogen_phosphorylase_(EC_2.4.1.1)	2421	45.7662
272563.8.peg.91|LSU_ribosomal_protein_L16p_(L10e)	432	145.8333
272563.8.peg.927|Arginine_decarboxylase_(EC_4.1.1.19)	1476	0.3388
272563.8.peg.928|S-adenosylmethionine_decarboxylase_proenzyme_(EC_4.1.1.50),_prokaryotic_class_1B	414	0.4831
272563.8.peg.929|Spermidine_synthase_(EC_2.5.1.16)	852	1.2911
272563.8.peg.930|Agmatinase_(EC_3.5.3.11)	879	2.7873
272563.8.peg.92|LSU_ribosomal_protein_L29p_(L35e)	204	139.4608
272563.8.peg.93|SSU_ribosomal_protein_S17p_(S11e)	255	118.8235
272563.8.peg.94|LSU_ribosomal_protein_L14p_(L23e)	369	166.6667
272563.8.peg.95|LSU_ribosomal_protein_L24p_(L26e)	309	154.2071
272563.8.peg.96|LSU_ribosomal_protein_L5p_(L11e)	543	189.5948
272563.8.peg.97|SSU_ribosomal_protein_S14p_(S29e)_@_SSU_ribosomal_protein_S14p_(S29e),_zinc-dependent	186	84.6774
272563.8.peg.98|SSU_ribosomal_protein_S8p_(S15Ae)	399	179.8246
272563.8.peg.99|LSU_ribosomal_protein_L6p_(L9e)	543	179.9263
272563.8.peg.100|LSU_ribosomal_protein_L18p_(L5e)	369	181.3008
272563.8.peg.101|SSU_ribosomal_protein_S5p_(S2e)	510	163.4314
272563.8.peg.102|LSU_ribosomal_protein_L30p_(L7e)	186	133.6022
272563.8.peg.103|LSU_ribosomal_protein_L15p_(L27Ae)	444	200.3378
272563.8.peg.105|Adenylate_kinase_(EC_2.7.4.3)	651	195.6221
272563.8.peg.1023|N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)	816	0.4902
272563.8.peg.106|Methionine_aminopeptidase_(EC_3.4.11.18)	747	192.0348
272563.8.peg.1034|Phosphoserine_phosphatase_(EC_3.1.3.3)	474	9.5992
272563.8.peg.109|LSU_ribosomal_protein_L36p_@_LSU_ribosomal_protein_L36p,_zinc-dependent	114	33.7719
272563.8.peg.1040|2-isopropylmalate_synthase_(EC_2.3.3.13)	1743	0.918
272563.8.peg.1041|3-isopropylmalate_dehydratase_large_subunit_(EC_4.2.1.33)	1278	1.4476
272563.8.peg.110|SSU_ribosomal_protein_S13p_(S18e)	372	136.5591
272563.8.peg.1042|3-isopropylmalate_dehydratase_small_subunit_(EC_4.2.1.33)	492	1.1179
272563.8.peg.1043|3-isopropylmalate_dehydrogenase_(EC_1.1.1.85)	1071	2.1475
272563.8.peg.1045|Serine--pyruvate_aminotransferase_(EC_2.6.1.51)	1077	4.2711
272563.8.peg.111|SSU_ribosomal_protein_S11p_(S14e)	399	173.4336
272563.8.peg.1046|D-3-phosphoglycerate_dehydrogenase_(EC_1.1.1.95)	942	2.8662
272563.8.peg.112|SSU_ribosomal_protein_S4p_(S9e)_@_SSU_ribosomal_protein_S4p_(S9e),_zinc-dependent	624	212.1795
272563.8.peg.113|DNA-directed_RNA_polymerase_alpha_subunit_(EC_2.7.7.6)	948	239.135
272563.8.peg.1052|ABC_transporter,_ATP-binding_protein_(cluster_10,_nitrate/sulfonate/bicarbonate)	699	2.6466
272563.8.peg.1054|Fumarate_hydratase_class_I,_alpha_region_(EC_4.2.1.2);_L(+)-tartrate_dehydratase_alpha_subunit_(EC_4.2.1.32)	840	2.6786
272563.8.peg.1055|Fumarate_hydratase_class_I,_beta_region_(EC_4.2.1.2);_L(+)-tartrate_dehydratase_beta_subunit_(EC_4.2.1.32)	549	2.3679
272563.8.peg.1056|NADP-dependent_malic_enzyme_(EC_1.1.1.40)	1182	6.7682
272563.8.peg.1062|Glucosamine-6-phosphate_deaminase_(EC_3.5.99.6)	750	14.0667
272563.8.peg.114|LSU_ribosomal_protein_L17p	342	175.1462
272563.8.peg.1085|UDP-N-acetylglucosamine_2-epimerase_(EC_5.1.3.14)	1125	4.4889
272563.8.peg.1086|N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)	975	1.4359
272563.8.peg.1087|N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)	2019	33.2343
272563.8.peg.1088|N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)	2013	14.1331
272563.8.peg.119|LSU_ribosomal_protein_L13p_(L13Ae)	432	173.9583
272563.8.peg.120|SSU_ribosomal_protein_S9p_(S16e)	393	183.5878
272563.8.peg.121|N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)	705	21.4894
272563.8.peg.1099|N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)	1053	15.5745
272563.8.peg.1101|NAD_kinase_(EC_2.7.1.23)	801	16.0424
272563.8.peg.1109|3-hydroxybutyryl-CoA_dehydratase_(EC_4.2.1.55)	798	275.8145
272563.8.peg.1110|3-hydroxybutyryl-CoA_dehydrogenase_(EC_1.1.1.157)	846	285.4019
272563.8.peg.1111|Acetyl-CoA_acetyltransferase_(EC_2.3.1.9)	1176	318.9201
272563.8.peg.1124|Transcriptional_regulator,_GntR_family_domain_/_Aspartate_aminotransferase_(EC_2.6.1.1)	1446	4.8409
272563.8.peg.1128|PTS_system,_mannose-specific_IIA_component_(EC_2.7.1.191)	411	2.5547
272563.8.peg.1130|PTS_system,_mannose-specific_IIB_component_(EC_2.7.1.191)	471	2.1231
272563.8.peg.1131|PTS_system,_mannose-specific_IIC_component	759	1.3175
272563.8.peg.1132|PTS_system,_mannose-specific_IID_component	843	4.2112
272563.8.peg.1137|PTS_system,_galactitol-specific_IIB_component_(EC_2.7.1.200)	276	13.587
272563.8.peg.1175|Pyruvate_formate-lyase_(EC_2.3.1.54)	2373	8.386
272563.8.peg.1176|Pyruvate_formate-lyase_activating_enzyme_(EC_1.97.1.4)	903	11.2403
272563.8.peg.1186|Dephospho-CoA_kinase_(EC_2.7.1.24)	603	14.8425
272563.8.peg.1191|Lactoylglutathione_lyase_(EC_4.4.1.5)	372	14.3817
272563.8.peg.1211|Methylglyoxal_synthase_(EC_4.2.3.3)	414	48.913
272563.8.peg.1219|LSU_ribosomal_protein_L21p	312	120.9936
272563.8.peg.1221|LSU_ribosomal_protein_L27p	291	212.0275
272563.8.peg.1224|Homoserine_dehydrogenase_(EC_1.1.1.3)	1206	2.1559
272563.8.peg.122|Aspartate_aminotransferase_(EC_2.6.1.1)	1185	25.3586
272563.8.peg.1231|Glycolate_dehydrogenase_(EC_1.1.99.14),_subunit_GlcD	1392	281.9325
272563.8.peg.1233|Acetate_kinase_(EC_2.7.2.1)	1197	103.4252
272563.8.peg.1235|LSU_ribosomal_protein_L32p_@_LSU_ribosomal_protein_L32p,_zinc-dependent	177	60.452
272563.8.peg.1238|3-oxoacyl-	987	32.7254
272563.8.peg.123|Ribonucleotide_reductase_of_class_III_(anaerobic),_large_subunit_(EC_1.17.4.2)	2352	58.3121
272563.8.peg.1240|Malonyl_CoA-acyl_carrier_protein_transacylase_(EC_2.3.1.39)	951	36.2776
272563.8.peg.1243|3-oxoacyl-	1239	60.452
272563.8.peg.1250|Fructose-1,6-bisphosphatase,_Bacillus_type_(EC_3.1.3.11)	1986	28.2477
272563.8.peg.1264|(2E,6E)-farnesyl_diphosphate_synthase_(EC_2.5.1.10)	888	10.4167
272563.8.peg.1266|1-deoxy-D-xylulose_5-phosphate_synthase_(EC_2.2.1.7)	1866	14.3355
272563.8.peg.1279|ADP-ribose_pyrophosphatase_(EC_3.6.1.13)	537	31.6574
272563.8.peg.1282|Phosphopentomutase_(EC_5.4.2.7)	1173	33.035
272563.8.peg.1283|Purine_nucleoside_phosphorylase_(EC_2.4.2.1)_@_N-Ribosylnicotinamide_phosphorylase_(EC_2.4.2.1)	813	33.8868
272563.8.peg.1284|Pyrimidine-nucleoside_phosphorylase_(EC_2.4.2.2)	1326	3.9216
272563.8.peg.1312|Ribonuclease_III_(EC_3.1.26.3)	711	6.1181
272563.8.peg.1314|Chromosome_partition_protein_smc	3555	16.5963
272563.8.peg.1318|SSU_ribosomal_protein_S16p	273	77.2894
272563.8.peg.1322|LSU_ribosomal_protein_L19p	351	110.6838
272563.8.peg.1339|DNA_topoisomerase_I_(EC_5.99.1.2)	2088	21.9349
272563.8.peg.1344|Cysteine_desulfurase_(EC_2.8.1.7)	1194	34.1709
272563.8.peg.1347|Alanyl-tRNA_synthetase_(EC_6.1.1.7)	2640	26.3826
272563.8.peg.1360|Segregation_and_condensation_protein_A	720	13.2639
272563.8.peg.1361|Segregation_and_condensation_protein_B	540	20.3704
272563.8.peg.1365|Cytosol_aminopeptidase_PepA_(EC_3.4.11.1)	1452	7.3347
272563.8.peg.1370|N-acetylmuramoyl-L-alanine_amidase_(EC_3.5.1.28)	1824	14.1996
272563.8.peg.1373|Transcription_termination_protein_NusA	1155	40.0866
272563.8.peg.1382|FMN_adenylyltransferase_(EC_2.7.7.2)_/_Riboflavin_kinase_(EC_2.7.1.26)	930	18.9247
272563.8.peg.1383|SSU_ribosomal_protein_S15p_(S13e)	258	250.7752
272563.8.peg.1389|Aspartokinase_(EC_2.7.2.4)	1224	39.5425
272563.8.peg.1394|CDP-diacylglycerol--glycerol-3-phosphate_3-phosphatidyltransferase_(EC_2.7.8.5)	543	13.628
272563.8.peg.1399|Undecaprenyl-diphosphatase_(EC_3.6.1.27)	825	23.5758
272563.8.peg.1401|Adenylosuccinate_lyase_(EC_4.3.2.2)_@_SAICAR_lyase_(EC_4.3.2.2)	1446	22.8216
272563.8.peg.1403|PTS_system,_maltose_and_glucose-specific_IIC_component_/_PTS_system,_maltose_and_glucose-specific_IIB_component_(EC_2.7.1.208)	1578	3.4537
272563.8.peg.1405|Maltose-6'-phosphate_glucosidase_(EC_3.2.1.122)	1347	4.9369
272563.8.peg.1406|Alanine_transaminase_(EC_2.6.1.2)	1197	296.2406
272563.8.peg.1407|Galactose-1-phosphate_uridylyltransferase_(EC_2.7.7.10)	951	36.6456
272563.8.peg.1411|Glutamine_synthetase,_clostridia_type_(EC_6.3.1.2)	1899	16.2981
272563.8.peg.10|DNA_polymerase_III_beta_subunit_(EC_2.7.7.7)	1107	21.4092
272563.8.peg.128|Phosphate_butyryltransferase_(EC_2.3.1.19)	903	57.5858
272563.8.peg.1421|Pyridoxal_kinase_(EC_2.7.1.35)	822	6.3869
272563.8.peg.129|Butyrate_kinase_(EC_2.7.2.7)	1080	137.2222
272563.8.peg.1453|Glycerol_kinase_(EC_2.7.1.30)	1515	7.1947
272563.8.peg.1457|Allophanate_hydrolase_2_subunit_1_(EC_3.5.1.54)	696	1.4368
272563.8.peg.1458|Allophanate_hydrolase_2_subunit_2_(EC_3.5.1.54)	987	0.8105
272563.8.peg.135|Phosphoglucosamine_mutase_(EC_5.4.2.10)	1347	56.7186
272563.8.peg.1472|Nicotinamidase_(EC_3.5.1.19)	636	18.6321
272563.8.peg.1473|Glycerophosphoryl_diester_phosphodiesterase_(EC_3.1.4.46)	732	7.1038
272563.8.peg.1479|Transcriptional_regulator,_GntR_family_domain_/_Aspartate_aminotransferase_(EC_2.6.1.1)	1449	8.0055
272563.8.peg.1481|ADP-ribose_pyrophosphatase_of_COG1058_family_(EC_3.6.1.13)_/_Nicotinamide-nucleotide_amidase_(EC_3.5.1.42)	1257	12.2116
272563.8.peg.1498|Isochorismatase_(EC_3.3.2.1)	324	4.6296
272563.8.peg.1517|Para-aminobenzoate_synthase,_amidotransferase_component_(EC_2.6.1.85)	585	8.6325
272563.8.peg.1518|Para-aminobenzoate_synthase,_aminase_component_(EC_2.6.1.85)	1350	12.8519
272563.8.peg.1519|Aminodeoxychorismate_lyase_(EC_4.1.3.38)	744	9.3414
